Id,SalePrice
1461,107076.35443343502
1462,172054.66856475358
1463,189724.83793602203
1464,197308.7876572496
1465,188060.66125814198
1466,175499.40163897278
1467,184717.42167186862
1468,164832.75563568226
1469,174456.39220724665
1470,125501.77694775081
1471,183961.25360286157
1472,90662.11612623862
1473,102833.67163056537
1474,148812.08598080106
1475,121102.76154200439
1476,376812.5771383524
1477,286466.3033571212
1478,280353.80710801
1479,261302.35402399465
1480,502340.7968601941
1481,326063.5572136024
1482,205201.18023798193
1483,173782.43683157535
1484,163147.2440337914
1485,184076.9392061409
1486,204328.85057757364
1487,357360.3008114528
1488,220745.6956818103
1489,210735.97614003337
1490,269636.30329169723
1491,182562.50565457964
1492,68466.20702916442
1493,168877.96639088696
1494,361477.33917963
1495,284822.2703558192
1496,234101.71157365403
1497,188547.26225360666
1498,155285.32358878598
1499,151596.83650674854
1500,153919.54560613105
1501,177761.42712309453
1502,146010.06024785788
1503,319318.2614978589
1504,250370.01168135784
1505,240086.76525743707
1506,215871.74856714823
1507,245878.23716554046
1508,210702.38366971965
1509,169414.0768056889
1510,144609.06417211678
1511,157768.9533273858
1512,176848.23146571725
1513,139162.79604127028
1514,85022.19812728191
1515,194758.22985648265
1516,170363.5232722668
1517,176378.472684898
1518,133737.10864232664
1519,225543.54926058842
1520,136766.90310088004
1521,112151.43181879075
1522,161988.13722484894
1523,108783.38183080539
1524,126922.89444919665
1525,123144.15861020343
1526,117571.06744307026
1527,104661.4737549911
1528,131594.95820331934
1529,148973.78531835365
1530,190407.1911146663
1531,80590.59021700983
1532,106882.39223167849
1533,150766.14363481506
1534,123713.4270999665
1535,130109.01513487005
1536,100685.64758183657
1537,12723.603952267471
1538,150997.99912826656
1539,236205.39690131313
1540,76787.28498279718
1541,140800.28922667445
1542,130797.1248699197
1543,211255.3061267024
1544,86499.50132814994
1545,118966.79524410682
1546,129731.64098512415
1547,133123.28160898574
1548,140445.55415005673
1549,124062.0024842494
1550,139708.83355808727
1551,108232.60842763602
1552,147845.43497839605
1553,160982.01164179438
1554,121870.08856224829
